"Номер";"Группа 1";"Группа 2";"Группа 3";"Группа 4";"Группа 5"
"строка "1;"""a\\b""";"""a""";"""y""";"""$&""";"""a""";
"строка "2;"""(a)b\\1""";"""abaab""";"""y""";"""$&""";"""aba""";
"строка "3;"""()b\\1""";"""aaab""";"""y""";"""$&""";"""b""";
"строка "4;"""abc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "5;"""abc""";"""xbc""";"""n""";"""-""";"""-""";
"строка "6;"""abc""";"""axc""";"""n""";"""-""";"""-""";
"строка "7;"""abc""";"""abx""";"""n""";"""-""";"""-""";
"строка "8;"""abc""";"""xabcy""";"""y""";"""$&""";"""abc""";
"строка "9;"""abc""";"""ababc""";"""y""";"""$&""";"""abc""";
"строка "10;"""ab*c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "11;"""ab*bc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "12;"""ab*bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "13;"""ab*bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc""";
"строка "14;"""ab+bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "15;"""ab+bc""";"""abc""";"""n""";"""-""";"""-""";
"строка "16;"""ab+bc""";"""abq""";"""n""";"""-""";"""-""";
"строка "17;"""ab+bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc""";
"строка "18;"""ab?bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "19;"""ab?bc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "20;"""ab?bc""";"""abbbbc""";"""n""";"""-""";"""-""";
"строка "21;"""ab?c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "22;"""^abc$""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "23;"""^abc$""";"""abcc""";"""n""";"""-""";"""-""";
"строка "24;"""^abc""";"""abcc""";"""y""";"""$&""";"""abc""";
"строка "25;"""^abc$""";"""aabc""";"""n""";"""-""";"""-""";
"строка "26;"""abc$""";"""aabc""";"""y""";"""$&""";"""abc""";
"строка "27;"""^""";"""abc""";"""y""";"""$&""";"""""";
"строка "28;"""$""";"""abc""";"""y""";"""$&""";"""""";
"строка "29;"""a.c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "30;"""a.c""";"""axc""";"""y""";"""$&""";"""axc""";
"строка "31;"""a.*c""";"""axyzc""";"""y""";"""$&""";"""axyzc""";
"строка "32;"""a.*c""";"""axyzd""";"""n""";"""-""";"""-""";
"строка "33;"""a[bc]d""";"""abc""";"""n""";"""-""";"""-""";
"строка "34;"""a[bc]d""";"""abd""";"""y""";"""$&""";"""abd""";
"строка "35;"""a[b-d]e""";"""abd""";"""n""";"""-""";"""-""";
"строка "36;"""a[b-d]e""";"""ace""";"""y""";"""$&""";"""ace""";
"строка "37;"""a[b-d]""";"""aac""";"""y""";"""$&""";"""ac""";
"строка "38;"""a[-b]""";"""a-""";"""y""";"""$&""";"""a-""";
"строка "39;"""a[b-]""";"""a-""";"""y""";"""$&""";"""a-""";
"строка "40;"""a[b-a]""";"""-""";"""c""";"""-""";"""-""";
"строка "41;"""a[]b""";"""-""";"""c""";"""-""";"""-""";
"строка "42;"""a[""";"""-""";"""c""";"""-""";"""-""";
